procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 459472 218528 3229064    0    0   192    73  588  916 25  3 72  0  0
 0  0      0 451908 218528 3228568    0    0     0     0 1671 2780  8  2 91  0  0
 2  0      0 441740 218528 3228564    0    0     0     0 2123 3486  7  3 91  0  0
 0  0      0 431448 218528 3228564    0    0     0     0 1397 2368  5  2 94  0  0
 1  0      0 420784 218536 3228596    0    0     0   148 1250 2095  4  2 94  0  0
 0  0      0 410368 218536 3228596    0    0     0     0 1175 1989  4  1 95  0  0
 0  0      0 400076 218536 3228596    0    0     0     0 1125 1895  4  2 95  0  0
 0  0      0 389784 218536 3228596    0    0     0     0 1124 1918  4  1 95  0  0
 0  0      0 379244 218536 3228596    0    0     0     0 1127 1931  5  1 94  0  0
 0  0      0 368980 218544 3228588    0    0     0    72 1150 1931  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 358784 218544 3228596    0    0     0     4 1126 1886  4  1 95  0  0
 0  0      0 461092 218544 3228596    0    0     0     0 1152 1903  4  1 95  0  0
 0  0      0 460976 218544 3228596    0    0     0     0 1294 2190  5  2 94  0  0
